node,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
ASN:ASN0001,0.1835437,-0.4280266,0.12918577,-0.29833645,-0.07832017,-0.083889954,-0.20774673,0.47134706,-0.11688106,0.2734179,-0.10209328,-0.04209515,0.274157,0.12816209,-0.28956288,-0.30117762,0.3675811,0.30210263,-0.2625686,0.37840763,0.23042129,-0.2439017,-0.36570054,0.049203806,0.21709797,0.18883556,0.1559579,-0.180979,0.041560926,0.04989156,-0.11872149,-0.31389323,0.15481305,0.07994414,0.12027911,-0.080931984,0.06923963,-0.13009164,-0.32819042,-0.11100764,-0.21094114,-0.1959555,-0.023930792,0.22299935,0.03125766,0.081582874,0.080167435,-0.21666335,-0.018051162,-0.08856394,0.00722025,0.22426467,-0.06499004,-0.2875174,-0.20144178,-0.28650337,0.09047411,-0.14384088,0.28576565,-0.14461197,-0.3982218,-0.059045322,-0.0054167476,0.007523007
ASN:ASN0002,0.24613369,-0.32848832,0.16358776,-0.35118908,-0.098349914,-0.14573787,-0.13923271,0.2889905,-0.031000718,0.13251957,-0.36400196,-0.16621813,-0.04791729,-0.016890164,-0.32688233,0.17372176,0.22564167,0.20440269,-0.046578,0.17338969,0.1438263,-0.049938165,-0.29498118,0.42318413,0.096668825,-0.08565122,-0.17646286,-0.32000223,-0.07700005,-0.013292828,0.095483534,-0.017438171,-0.077293925,0.14402594,-0.15884514,-0.11909914,0.108026795,0.03282036,0.0066606468,0.05676939,-0.19414105,-0.095925294,0.13752955,0.1919018,-0.24739844,0.1238314,-0.083667554,-0.14904232,-0.5013635,-0.37289172,-0.0069244686,-0.16108559,0.12421789,-0.28900275,-0.36031607,-0.09640445,0.046588857,0.046577454,0.27376607,-0.23205502,-0.09763352,0.035771523,0.15816842,0.15418841
ASN:ASN0003,-0.016353657,0.0454083,0.0757073,-0.32748634,0.086942576,0.06430823,0.13346463,0.28909716,-0.32820073,0.15920635,0.20021528,0.05993925,0.15847169,-0.04535278,-0.24126495,0.030942047,0.18837361,0.18440175,-0.40778676,0.3730072,0.0019006918,-0.157527,-0.57142156,-0.042554453,0.5369191,0.19119672,0.045252956,-0.086363435,-0.07376341,0.10614961,-0.07186781,-0.16883105,0.31129548,-0.16183366,0.015898762,-0.057772424,0.23509297,-0.45548946,-0.33095548,0.02511795,-0.39733216,0.26579127,-0.3537543,0.16231938,0.14046346,-0.045031972,0.03176292,-0.011806152,-0.15278131,-0.3278963,0.06210837,0.52026874,-0.24906152,-0.2722019,-0.1881768,-0.18996903,0.08144751,-0.38911122,0.3228586,-0.33872396,-0.27923223,0.27425605,-0.21992634,-0.015039959
ASN:ASN0004,0.1187039,-0.25103867,0.22164224,-0.50725937,-0.25757238,-0.060313653,-0.30547974,0.3650351,-0.20487678,0.2959573,-0.114149176,0.005154916,-0.03090188,0.049922973,-0.25606415,-0.29354653,0.20717469,0.1880998,-0.26291987,0.2876173,0.24131896,-0.23779559,-0.36083,0.13375635,0.43195203,0.08830243,0.07982762,-0.07058813,0.24415651,0.11493269,-0.054629877,-0.34265226,-0.15306047,0.025183806,0.009760298,-0.10847909,0.20934258,-0.09807767,0.008765436,-0.06085489,-0.22083242,-0.042353652,-0.10655104,0.1088832,0.22003119,0.24246457,-0.027165389,-0.18263406,-0.17576042,-0.111669995,0.23820451,0.41340822,-0.13748628,-0.092137374,-0.21946158,0.02362454,0.0075287535,-0.058050763,0.2456332,-0.12519145,-0.29374343,-0.014692291,0.04092976,-0.23815799
ASN:ASN0005,0.21496657,-0.24673563,0.33532727,-0.11258184,-0.21146579,-0.041389786,-0.11653624,0.05062433,-0.0079412,-0.05686367,-0.23838745,0.02852835,0.22553726,-0.20839877,-0.19223718,-0.13459806,0.31766978,0.3642775,-0.016168522,0.17344338,0.116333105,-0.12230106,-0.45714906,-0.06351309,0.28613648,-0.07293547,-0.0048826397,-0.29017428,-0.28828764,-0.04140948,0.07735736,-0.057072546,-0.08642641,-0.11227888,-0.065187775,-0.06050642,0.22553845,0.030469064,-0.23611197,0.13715911,-0.0072976244,0.108870335,0.042984005,0.08438386,0.022902586,0.24589504,0.10141724,-0.35960993,-0.18998241,-0.25095427,0.014818136,0.15297258,-0.088702425,-0.15119919,-0.22729748,-0.06695101,0.18400072,-0.086045116,0.19617611,-0.18319353,-0.06660671,-0.13992745,0.015695041,-0.16722298
ASN:ASN0006,0.10901958,0.16218024,0.10017364,0.21475613,-0.105730295,-0.08125257,0.2578472,-0.34697762,0.022927001,-0.28649643,0.100444645,0.2367501,0.126875,-0.14164478,0.09988094,-0.046519376,-0.1393029,-0.1336879,0.06556244,-0.15939753,0.015494534,0.11268911,0.16017035,0.04786856,0.02002884,-0.00019608432,-0.02188747,0.102940366,-0.18382563,0.15781844,-0.14170855,0.20501648,-0.020531246,-0.18788536,-0.41928837,-0.13464922,0.44620314,-0.38921824,-0.012343686,0.12794346,-0.3240689,0.02682544,0.20627971,0.17089272,0.017967938,0.61864954,0.024711516,-0.235182,-0.36701363,-0.55831224,0.05542206,0.47937688,-0.3469456,-0.5432513,-0.39573357,-0.13250424,0.14898328,0.18412481,0.44821692,-0.39273074,-0.58914703,0.14788227,0.20597993,0.24347419
ASN:ASN0007,0.07954132,-0.2702887,0.21057394,-0.14063779,-0.061823584,-0.21748255,0.19432993,-0.1418636,-0.0062651103,-0.09674048,0.055607956,0.026915066,0.09295049,-0.114422,-0.2540881,-0.24716008,-0.13615511,0.27084017,-0.079831086,0.09718508,0.024734786,0.028786218,-0.2891935,-0.0328619,0.1439612,0.00073297496,-0.32718965,-0.117080644,-0.054841988,0.11923033,0.01101259,0.17187855,-0.039763253,-0.21469371,-0.04613452,-0.12969694,0.19258434,-0.14712246,-0.17874101,0.03835485,-0.23088253,-0.006366829,0.27450895,0.17149925,0.06817974,0.37852824,-0.030517932,-0.24782854,-0.27027163,-0.39978093,-0.051972844,0.26412794,-0.058603924,-0.2390453,-0.034349352,0.010120852,0.070752576,-0.27376708,0.11313393,-0.28710335,-0.19439346,0.057061344,0.19946977,0.22734071
ASN:ASN0008,-0.01576977,0.03925608,0.16800691,-0.21964486,-0.012988242,0.2418709,-0.07801943,0.45105195,-0.07949576,0.3865165,-0.12644958,0.14463244,0.060411315,0.1262205,-0.30686393,-0.023870144,0.23157075,0.30397862,-0.24318638,0.4772193,0.29931372,-0.12500615,-0.36958066,-0.1745912,0.3078456,-0.20901264,0.32470247,-0.025381949,0.0034757645,0.061649907,-0.15117735,-0.013727005,0.10846967,0.075404346,0.13376221,0.14322108,0.2995002,-0.4105879,-0.29795814,-0.018167624,-0.36430797,0.3294023,-0.2747716,0.014053912,0.016097313,0.18805912,-0.0070864586,-0.24103943,-0.06674208,-0.23984031,-0.00028996545,0.35161212,-0.2264551,-0.040479787,-0.44725266,-0.2314034,0.07448201,-0.19666263,0.250665,-0.33569878,-0.42590278,0.2449221,0.008555709,-0.102261126
ASN:ASN0009,-0.14144616,-0.34608048,0.20628044,-0.15956652,-0.19144185,-0.18735228,0.09557968,0.19405553,-0.3734767,0.059277866,0.06922507,0.19179203,0.24770811,-0.114057146,0.052957468,-0.15517092,0.07318004,0.4516362,-0.5108922,0.5033502,0.09194993,-0.09110677,-0.40458596,0.11444383,0.22455028,0.17011198,-0.18043423,0.06442403,-0.05934411,0.06691938,-0.104355305,-0.16525833,0.1988884,0.11293386,-0.11927458,-0.08598441,-0.12472442,-0.18182936,-0.38440448,0.21723337,-0.3438464,0.10063165,-0.20483239,0.083140865,0.13539541,0.18835576,-0.19092178,-0.35650554,-0.10580666,-0.32247698,-0.08130879,0.13782167,-0.036319286,-0.28291702,-0.008426591,0.013223586,0.1261251,-0.17866695,0.25537112,-0.15598187,-0.26604933,-0.057350434,-0.10795383,0.09587837
ASN:ASN0010,0.030221742,0.005029236,0.25797126,-0.34113073,-0.20805302,0.08842643,-0.052079663,0.10319986,-0.27154464,0.09430737,-0.17349954,-0.12720554,0.06637706,0.071134895,-0.35035217,-0.07431056,0.0009086853,0.14614213,-0.38972908,0.4460998,0.28609645,0.23557912,-0.18161003,0.065669164,0.0031383515,0.25260133,0.28158906,-0.08609464,0.11073689,0.13828091,-0.17177662,0.14863582,0.19301084,0.22331883,0.13577892,0.23133002,0.24231438,-0.32374525,-0.5270697,-0.041587625,-0.022558037,0.00075110403,-0.114398494,0.2551941,0.1731628,-0.019442765,-0.0896686,-0.3564774,-0.22940022,-0.27220502,0.034652013,0.3451164,-0.27576032,-0.4082363,-0.047760118,0.09651383,-0.07910059,-0.09045062,0.22794418,-0.36660782,-0.599138,0.20051691,0.20796303,0.11444248
